timestamp,key,year,month,status,file,size_mb,note
2026-09-10T16:18:28.732867,sst,2022,1,SUCCESS,sst_2022-01.nc,8.07,ok | 2022-01-01–2022-01-31 | N_times=31
2026-09-10T16:18:42.599088,sst,2022,2,SUCCESS,sst_2022-02.nc,7.29,ok | 2022-02-01–2022-02-28 | N_times=28
2026-09-10T16:18:56.283560,sst,2022,3,SUCCESS,sst_2022-03.nc,8.07,ok | 2022-03-01–2022-03-31 | N_times=31
2026-09-10T16:19:10.570456,sst,2022,4,SUCCESS,sst_2022-04.nc,7.81,ok | 2022-04-01–2022-04-30 | N_times=30
2026-09-10T16:19:24.032487,sst,2022,5,SUCCESS,sst_2022-05.nc,8.07,ok | 2022-05-01–2022-05-31 | N_times=31
2026-09-10T16:19:39.185548,sst,2022,6,SUCCESS,sst_2022-06.nc,7.81,ok | 2022-06-01–2022-06-30 | N_times=30
2026-09-10T16:20:04.379486,sst,2022,7,SUCCESS,sst_2022-07.nc,8.07,ok | 2022-07-01–2022-07-31 | N_times=31
2026-09-10T16:20:26.431489,sst,2022,8,SUCCESS,sst_2022-08.nc,8.07,ok | 2022-08-01–2022-08-31 | N_times=31
2026-09-10T16:20:40.182342,sst,2022,9,SUCCESS,sst_2022-09.nc,7.81,ok | 2022-09-01–2022-09-30 | N_times=30
2026-09-10T16:20:54.214767,sst,2022,10,SUCCESS,sst_2022-10.nc,8.07,ok | 2022-10-01–2022-10-31 | N_times=31
2026-09-10T16:21:09.085876,sst,2022,11,SUCCESS,sst_2022-11.nc,7.81,ok | 2022-11-01–2022-11-30 | N_times=30
2026-09-10T16:21:26.043501,sst,2022,12,SUCCESS,sst_2022-12.nc,8.07,ok | 2022-12-01–2022-12-31 | N_times=31
2026-09-10T16:21:45.349186,sst,2023,1,SUCCESS,sst_2023-01.nc,8.07,ok | 2023-01-01–2023-01-31 | N_times=31
2026-09-10T16:21:59.512916,sst,2023,2,SUCCESS,sst_2023-02.nc,7.29,ok | 2023-02-01–2023-02-28 | N_times=28
2026-09-10T16:22:14.671851,sst,2023,3,SUCCESS,sst_2023-03.nc,8.07,ok | 2023-03-01–2023-03-31 | N_times=31
2026-09-10T16:22:33.296227,sst,2023,4,SUCCESS,sst_2023-04.nc,7.81,ok | 2023-04-01–2023-04-30 | N_times=30
2026-09-10T16:22:50.913835,sst,2023,5,SUCCESS,sst_2023-05.nc,8.07,ok | 2023-05-01–2023-05-31 | N_times=31
2026-09-10T16:23:06.795541,sst,2023,6,SUCCESS,sst_2023-06.nc,7.81,ok | 2023-06-01–2023-06-30 | N_times=30
2026-09-10T16:23:39.093588,sst,2023,7,SUCCESS,sst_2023-07.nc,8.07,ok | 2023-07-01–2023-07-31 | N_times=31
2026-09-10T16:23:54.849455,sst,2023,8,SUCCESS,sst_2023-08.nc,8.07,ok | 2023-08-01–2023-08-31 | N_times=31
2026-09-10T16:24:12.679807,sst,2023,9,SUCCESS,sst_2023-09.nc,7.81,ok | 2023-09-01–2023-09-30 | N_times=30
2026-09-10T16:24:39.640491,sst,2023,10,SUCCESS,sst_2023-10.nc,8.07,ok | 2023-10-01–2023-10-31 | N_times=31
2026-09-10T16:25:00.278932,sst,2023,11,SUCCESS,sst_2023-11.nc,7.81,ok | 2023-11-01–2023-11-30 | N_times=30
2026-09-10T16:25:24.167257,sst,2023,12,SUCCESS,sst_2023-12.nc,8.07,ok | 2023-12-01–2023-12-31 | N_times=31
2026-09-10T16:25:55.021046,sss,2022,1,SUCCESS,sss_2022-01.nc,2.59,ok | 2022-01-01–2022-01-31 | N_times=31
2026-09-10T16:26:11.839753,sss,2022,2,SUCCESS,sss_2022-02.nc,2.34,ok | 2022-02-01–2022-02-28 | N_times=28
2026-09-10T16:26:28.360155,sss,2022,3,SUCCESS,sss_2022-03.nc,2.59,ok | 2022-03-01–2022-03-31 | N_times=31
2026-09-10T16:26:42.518995,sss,2022,4,SUCCESS,sss_2022-04.nc,2.51,ok | 2022-04-01–2022-04-30 | N_times=30
2026-09-10T16:26:56.818291,sss,2022,5,SUCCESS,sss_2022-05.nc,2.59,ok | 2022-05-01–2022-05-31 | N_times=31
2026-09-10T16:27:11.651040,sss,2022,6,SUCCESS,sss_2022-06.nc,2.51,ok | 2022-06-01–2022-06-30 | N_times=30
2026-09-10T16:27:26.210580,sss,2022,7,SUCCESS,sss_2022-07.nc,2.59,ok | 2022-07-01–2022-07-31 | N_times=31
