depth_m,cnn_rmse,cnn_mae,oceanembed_rmse,oceanembed_mae,oceanembed_r2,cbam_rmse,cbam_mae,cbam_r2
0,0.835622,0.56736,0.813592,0.676769,0.076458,0.742628,0.493433,0.230542
5,0.832982,0.558129,0.838602,0.69114,-0.074007,0.787317,0.518955,0.053337
10,0.790629,0.546239,0.86469,0.718492,-0.43619,0.681936,0.47947,0.106738
20,0.85539,0.580456,0.953939,0.772561,-0.816569,0.783558,0.525799,-0.225611
30,1.069544,0.705647,1.136216,0.820398,-0.567941,1.039415,0.613844,-0.312156
50,1.740271,1.070217,1.854312,1.109593,-0.042621,2.105492,1.310257,-0.344213
75,2.335602,1.74948,2.909317,2.242621,-0.397166,2.989483,2.282704,-0.475224
100,1.992465,1.596758,2.845039,2.409699,-0.39339,2.340143,1.848101,0.057284
125,1.480263,1.171884,2.138163,1.849832,-0.058649,1.587472,1.263032,0.416444
150,1.149955,0.875951,1.462524,1.260194,0.174974,1.325352,1.044162,0.322477
200,0.67911,0.49078,0.779665,0.608066,0.167061,0.777241,0.60304,0.172231
300,0.379013,0.282746,0.645748,0.484564,-1.962246,0.373419,0.279361,0.009426
500,0.30337,0.236006,0.491239,0.381479,-3.223055,0.289835,0.225934,-0.470082
700,0.294633,0.234164,0.467486,0.375632,-3.303223,0.274193,0.216117,-0.48037
1000,0.279801,0.216539,0.489636,0.40237,-3.708658,0.301874,0.239866,-0.789794
